Sector,CN_Code,Description
Iron_Steel,72051000,Pig iron spiegeleisen and ferro-alloys in granules
Iron_Steel,72052100,Powders of alloy steel
Iron_Steel,72052900,Other powders of pig iron spiegeleisen ferro-alloys
Iron_Steel,72061000,Iron and non-alloy steel in ingots
Iron_Steel,72069000,Iron and non-alloy steel in other primary forms
Iron_Steel,72071100,Semi-finished products of iron or non-alloy steel less than 0.25 percent carbon rectangular
Iron_Steel,72071200,Semi-finished products of iron or non-alloy steel less than 0.25 percent carbon other
Iron_Steel,72071900,Other semi-finished products of iron or non-alloy steel less than 0.25 percent carbon
Iron_Steel,72072000,Semi-finished products of iron or non-alloy steel 0.25 percent or more of carbon
Iron_Steel,72081000,Flat-rolled products of iron or non-alloy steel in coils not further worked than hot-rolled with patterns
Iron_Steel,72082500,Flat-rolled products of iron or non-alloy steel in coils thickness 4.75mm or more
Iron_Steel,72082600,Flat-rolled products of iron or non-alloy steel in coils thickness 3mm or more but less than 4.75mm
Iron_Steel,72082700,Flat-rolled products of iron or non-alloy steel in coils thickness less than 3mm
Iron_Steel,72083600,Flat-rolled products of iron or non-alloy steel not in coils thickness 10mm or more
Iron_Steel,72083700,Flat-rolled products of iron or non-alloy steel not in coils thickness 4.75mm or more but less than 10mm
Iron_Steel,72083800,Flat-rolled products of iron or non-alloy steel not in coils thickness 3mm or more but less than 4.75mm
Iron_Steel,72083900,Flat-rolled products of iron or non-alloy steel not in coils thickness less than 3mm
Iron_Steel,72084000,Flat-rolled products of iron or non-alloy steel not in coils not further worked than hot-rolled with patterns
Iron_Steel,72085100,Flat-rolled products of iron or non-alloy steel not in coils thickness 10mm or more
Iron_Steel,72085200,Flat-rolled products of iron or non-alloy steel not in coils thickness 4.75mm or more
Iron_Steel,72085300,Flat-rolled products of iron or non-alloy steel not in coils thickness 3mm or more
Iron_Steel,72085400,Flat-rolled products of iron or non-alloy steel not in coils thickness less than 3mm
Iron_Steel,72086000,Flat-rolled products of iron or non-alloy steel not in coils clad plated or coated with tin
Iron_Steel,72089000,Other flat-rolled products of iron or non-alloy steel
Iron_Steel,72091500,Flat-rolled products of iron or non-alloy steel cold-rolled thickness 3mm or more
Iron_Steel,72091600,Flat-rolled products of iron or non-alloy steel cold-rolled thickness more than 1mm but less than 3mm
Iron_Steel,72091700,Flat-rolled products of iron or non-alloy steel cold-rolled thickness 0.5mm or more but not more than 1mm
Iron_Steel,72091800,Flat-rolled products of iron or non-alloy steel cold-rolled thickness less than 0.5mm
Iron_Steel,72092500,Flat-rolled products of iron or non-alloy steel cold-rolled not in coils thickness 3mm or more
Iron_Steel,72092600,Flat-rolled products of iron or non-alloy steel cold-rolled not in coils thickness more than 1mm
Iron_Steel,72092700,Flat-rolled products of iron or non-alloy steel cold-rolled not in coils thickness 0.5mm or more
Iron_Steel,72092800,Flat-rolled products of iron or non-alloy steel cold-rolled not in coils thickness less than 0.5mm
Iron_Steel,72099000,Other flat-rolled products of iron or non-alloy steel cold-rolled
Iron_Steel,72101100,Flat-rolled products of iron or non-alloy steel plated or coated with tin thickness 0.5mm or more
Iron_Steel,72101200,Flat-rolled products of iron or non-alloy steel plated or coated with tin thickness less than 0.5mm
Iron_Steel,72102000,Flat-rolled products of iron or non-alloy steel plated or coated with lead
Iron_Steel,72103000,Flat-rolled products of iron or non-alloy steel electrolytically plated or coated with zinc
Iron_Steel,72104100,Flat-rolled products of iron or non-alloy steel corrugated plated or coated with zinc
Iron_Steel,72104900,Other flat-rolled products of iron or non-alloy steel plated or coated with zinc
Iron_Steel,72105000,Flat-rolled products of iron or non-alloy steel plated or coated with chromium oxides
Iron_Steel,72106100,Flat-rolled products of iron or non-alloy steel plated or coated with aluminium-zinc alloys
Iron_Steel,72106900,Other flat-rolled products of iron or non-alloy steel plated or coated with aluminium
Iron_Steel,72107000,Flat-rolled products of iron or non-alloy steel painted varnished or coated with plastics
Iron_Steel,72109000,Other flat-rolled products of iron or non-alloy steel clad plated or coated
Iron_Steel,72111300,Flat-rolled products of iron or non-alloy steel simply hot-rolled in coils thickness less than 4.75mm
Iron_Steel,72111400,Flat-rolled products of iron or non-alloy steel simply hot-rolled not in coils thickness 4.75mm or more
Iron_Steel,72111900,Other flat-rolled products of iron or non-alloy steel simply hot-rolled
Iron_Steel,72112300,Flat-rolled products of iron or non-alloy steel cold-rolled containing less than 0.25 percent of carbon
Iron_Steel,72112900,Other flat-rolled products of iron or non-alloy steel cold-rolled
Iron_Steel,72119000,Other flat-rolled products of iron or non-alloy steel
Iron_Steel,72121000,Flat-rolled products of iron or non-alloy steel plated or coated with tin
Iron_Steel,72122000,Flat-rolled products of iron or non-alloy steel electrolytically plated or coated with zinc
Iron_Steel,72123000,Other flat-rolled products of iron or non-alloy steel plated or coated with zinc
Iron_Steel,72124000,Flat-rolled products of iron or non-alloy steel painted varnished or coated with plastics
Iron_Steel,72125000,Other flat-rolled products of iron or non-alloy steel clad plated or coated
Iron_Steel,72126000,Flat-rolled products of iron or non-alloy steel clad
Iron_Steel,72131000,Bars and rods in irregularly wound coils of iron or non-alloy steel containing indentations
Iron_Steel,72132000,Other bars and rods in irregularly wound coils of free-cutting steel
Iron_Steel,72139100,Other bars and rods in irregularly wound coils less than 14mm in diameter
Iron_Steel,72139900,Other bars and rods in irregularly wound coils
Iron_Steel,72141000,Bars and rods of iron or non-alloy steel forged
Iron_Steel,72142000,Bars and rods of iron or non-alloy steel containing indentations ribs grooves or other deformations
Iron_Steel,72143000,Other bars and rods of free-cutting steel
Iron_Steel,72149100,Other bars and rods of iron or non-alloy steel rectangular cross-section
Iron_Steel,72149900,Other bars and rods of iron or non-alloy steel
Iron_Steel,72151000,Bars and rods of free-cutting steel not further worked than cold-formed or cold-finished
Iron_Steel,72155000,Other bars and rods of iron or non-alloy steel not further worked than cold-formed or cold-finished
Iron_Steel,72159000,Other bars and rods of iron or non-alloy steel
Iron_Steel,72161000,Angles shapes and sections of iron or non-alloy steel L or T sections less than 80mm
Iron_Steel,72162100,Angles shapes and sections of iron or non-alloy steel L sections 80mm or more
Iron_Steel,72162200,Angles shapes and sections of iron or non-alloy steel T sections 80mm or more
Iron_Steel,72163100,Angles shapes and sections of iron or non-alloy steel U sections
Iron_Steel,72163200,Angles shapes and sections of iron or non-alloy steel I sections
Iron_Steel,72163300,Angles shapes and sections of iron or non-alloy steel H sections
Iron_Steel,72164000,Angles shapes and sections of iron or non-alloy steel L or T sections 80mm or more
Iron_Steel,72165000,Other angles shapes and sections of iron or non-alloy steel
Iron_Steel,72166100,Angles shapes and sections of iron or non-alloy steel cold-formed or cold-finished from flat-rolled products
Iron_Steel,72166900,Other angles shapes and sections of iron or non-alloy steel cold-formed or cold-finished
Iron_Steel,72169100,Other angles shapes and sections of iron or non-alloy steel obtained from flat-rolled products
Iron_Steel,72169900,Other angles shapes and sections of iron or non-alloy steel
Iron_Steel,72171000,Wire of iron or non-alloy steel not plated or coated
Iron_Steel,72172000,Wire of iron or non-alloy steel plated or coated with zinc
Iron_Steel,72173000,Wire of iron or non-alloy steel plated or coated with other base metals
Iron_Steel,72179000,Other wire of iron or non-alloy steel
Iron_Steel,73011000,Sheet piling of iron or steel
Iron_Steel,73021000,Rails of iron or steel
Iron_Steel,73060000,Other tubes pipes and hollow profiles of iron or steel
Iron_Steel,73181510,Screws and bolts without heads
Iron_Steel,73181590,Other screws and bolts
Iron_Steel,73182100,Spring washers and other lock washers
Iron_Steel,73182200,Other washers
Iron_Steel,73182900,Other non-threaded articles
Aluminium,76011000,Unwrought aluminium not alloyed
Aluminium,76012000,Unwrought aluminium alloys
Aluminium,76020000,Aluminium waste and scrap
Aluminium,76031000,Powders of non-lamellar structure of aluminium
Aluminium,76032000,Powders of lamellar structure and flakes of aluminium
Aluminium,76041010,Bars and rods of aluminium not alloyed
Aluminium,76041090,Other bars and rods of aluminium not alloyed
Aluminium,76042100,Hollow profiles of aluminium alloys
Aluminium,76042900,Other bars rods and profiles of aluminium alloys
Aluminium,76051100,Wire of aluminium not alloyed maximum cross-sectional dimension more than 7mm
Aluminium,76051900,Other wire of aluminium not alloyed
Aluminium,76052100,Wire of aluminium alloys maximum cross-sectional dimension more than 7mm
Aluminium,76052900,Other wire of aluminium alloys
Aluminium,76061100,Plates sheets and strip of aluminium not alloyed rectangular
Aluminium,76061200,Plates sheets and strip of aluminium alloys rectangular
Aluminium,76069100,Other plates sheets and strip of aluminium not alloyed
Aluminium,76069200,Other plates sheets and strip of aluminium alloys
Aluminium,76071100,Foil of aluminium not backed rolled but not further worked thickness not exceeding 0.021mm
Aluminium,76071900,Other foil of aluminium not backed
Aluminium,76072000,Foil of aluminium backed
Aluminium,76081000,Tubes and pipes of aluminium not alloyed
Aluminium,76082000,Tubes and pipes of aluminium alloys
Aluminium,76090000,Tube or pipe fittings of aluminium
Aluminium,76101000,Doors windows and their frames and thresholds for doors of aluminium
Aluminium,76109000,Other structures and parts of structures of aluminium
Aluminium,76111000,Reservoirs tanks vats and similar containers of aluminium capacity exceeding 300 litres
Aluminium,76120000,Casks drums cans boxes and similar containers of aluminium
Aluminium,76130000,Containers for compressed or liquefied gas of aluminium
Aluminium,76151000,Table kitchen or other household articles and parts thereof of aluminium
Aluminium,76161000,Nails tacks staples screws bolts nuts of aluminium
Aluminium,76169100,Cloth grill netting and fencing of aluminium wire
Aluminium,76169900,Other articles of aluminium
